


  RMIN =  .750  MAXV   = 10  BE =   12.6450
  RMAX = 3.500  KDMAXV = 10  RE =    1.1977
  DELR =  .005  NEIG   =  0  DE =20000.0000
  ZMU  =  .930


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM   1.250 TO   2.545 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         2.2350           14313.750         2.2400           14392.690         2.2450           14471.420
         2.2500           14549.950         2.2550           14628.260         2.2600           14706.380
         2.2650           14784.310         2.2700           14862.100         2.2750           14939.760
         2.2800           15017.170         2.2850           15094.340         2.2900           15171.300
         2.2950           15248.080         2.3000           15324.680         2.3050           15401.100
         2.3100           15477.300         2.3150           15553.260         2.3200           15628.920
         2.3250           15704.460         2.3300           15779.820         2.3350           15854.970
         2.3400           15929.900         2.3450           16004.600         2.3500           16079.050
         2.3550           16153.270         2.3600           16227.290         2.3650           16301.140
         2.3700           16374.760         2.3750           16448.080         2.3800           16521.170
         2.3850           16594.050         2.3900           16666.740         2.3950           16739.240
         2.4000           16811.530         2.4050           16883.570         2.4100           16955.340
         2.4150           17026.750         2.4200           17098.010         2.4250           17169.110
         2.4300           17239.950         2.4350           17310.530         2.4400           17380.880
         2.4450           17450.970         2.4500           17520.820         2.4550           17590.440
         2.4600           17659.820         2.4650           17728.960         2.4700           17797.830
         2.4750           17866.440         2.4800           17934.860         2.4850           18003.050
         2.4900           18071.010         2.4950           18138.710         2.5000           18206.150
         2.5050           18273.330         2.5100           18340.260         2.5150           18406.930
         2.5200           18473.360         2.5250           18539.550         2.5300           18605.500
         2.5350           18671.190         2.5400           18736.620         2.5450           18801.780
         2.5500           18860.790         2.5550           18918.280         2.5600           18972.920
         2.5650           19024.830         2.5700           19074.150         2.5750           19121.000
         2.5800           19165.510         2.5850           19207.790         2.5900           19247.950
         2.5950           19286.090         2.6000           19322.320         2.6050           19356.720
         2.6100           19389.390         2.6150           19420.410         2.6200           19449.870
         2.6250           19477.840         2.6300           19504.400         2.6350           19529.610
         2.6400           19553.550         2.6450           19576.280         2.6500           19597.860
         2.6550           19618.340         2.6600           19637.790         2.6650           19656.240
         2.6700           19673.770         2.6750           19690.400         2.6800           19706.190
         2.6850           19721.170         2.6900           19735.400         2.6950           19748.900
         2.7000           19761.710         2.7050           19773.870         2.7100           19785.410
         2.7150           19796.370         2.7200           19806.770         2.7250           19816.630
         2.7300           19826.000         2.7350           19834.880         2.7400           19843.320
         2.7450           19851.320         2.7500           19858.920         2.7550           19866.130
         2.7600           19872.970         2.7650           19879.460         2.7700           19885.620
1
         2.7750           19891.470         2.7800           19897.020         2.7850           19902.280
         2.7900           19907.280         2.7950           19912.020         2.8000           19916.520
         2.8050           19920.790         2.8100           19924.840         2.8150           19928.680
         2.8200           19932.330         2.8250           19935.790         2.8300           19939.070
         2.8350           19942.190         2.8400           19945.140         2.8450           19947.950
         2.8500           19950.610         2.8550           19953.140         2.8600           19955.540
         2.8650           19957.810         2.8700           19959.970         2.8750           19962.020
         2.8800           19963.960         2.8850           19965.800         2.8900           19967.550
         2.8950           19969.210         2.9000           19970.790         2.9050           19972.280
         2.9100           19973.700         2.9150           19975.050         2.9200           19976.320
         2.9250           19977.540         2.9300           19978.690         2.9350           19979.780
         2.9400           19980.810         2.9450           19981.790         2.9500           19982.720
         2.9550           19983.610         2.9600           19984.450         2.9650           19985.240
         2.9700           19986.000         2.9750           19986.710         2.9800           19987.390
         2.9850           19988.040         2.9900           19988.650         2.9950           19989.230
         3.0000           19989.780         3.0050           19990.310         3.0100           19990.800
         3.0150           19991.270         3.0200           19991.720         3.0250           19992.140
         3.0300           19992.540         3.0350           19992.930         3.0400           19993.290
         3.0450           19993.630         3.0500           19993.960         3.0550           19994.270
         3.0600           19994.560         3.0650           19994.840         3.0700           19995.100
         3.0750           19995.350         3.0800           19995.590         3.0850           19995.820
         3.0900           19996.030         3.0950           19996.230         3.1000           19996.430
         3.1050           19996.610         3.1100           19996.780         3.1150           19996.950
         3.1200           19997.100         3.1250           19997.250         3.1300           19997.390
         3.1350           19997.530         3.1400           19997.650         3.1450           19997.770
         3.1500           19997.890         3.1550           19998.000         3.1600           19998.100
         3.1650           19998.200         3.1700           19998.290         3.1750           19998.380
         3.1800           19998.460         3.1850           19998.540         3.1900           19998.610
         3.1950           19998.680         3.2000           19998.750         3.2050           19998.810
         3.2100           19998.880         3.2150           19998.930         3.2200           19998.990
         3.2250           19999.040         3.2300           19999.090         3.2350           19999.130
         3.2400           19999.180         3.2450           19999.220         3.2500           19999.260
         3.2550           19999.300         3.2600           19999.330         3.2650           19999.370
         3.2700           19999.400         3.2750           19999.430         3.2800           19999.460
         3.2850           19999.490         3.2900           19999.520         3.2950           19999.540
         3.3000           19999.560         3.3050           19999.590         3.3100           19999.610
         3.3150           19999.630         3.3200           19999.650         3.3250           19999.660
         3.3300           19999.680         3.3350           19999.700         3.3400           19999.710
         3.3450           19999.730         3.3500           19999.740         3.3550           19999.760
         3.3600           19999.770         3.3650           19999.780         3.3700           19999.790
         3.3750           19999.800         3.3800           19999.810         3.3850           19999.820
         3.3900           19999.830         3.3950           19999.840         3.4000           19999.850
         3.4050           19999.860         3.4100           19999.860         3.4150           19999.870
         3.4200           19999.880         3.4250           19999.880         3.4300           19999.890
         3.4350           19999.890         3.4400           19999.900         3.4450           19999.900
1
         3.4500           19999.910         3.4550           19999.910         3.4600           19999.920
         3.4650           19999.920         3.4700           19999.930         3.4750           19999.930
         3.4800           19999.930         3.4850           19999.940         3.4900           19999.940
         3.4950           19999.940         3.5000           19999.950
1V'  B(V)  (CAL)   B(V)  (OBS)    DEVIATION        E(V)ALC)   E(V) (OBS)   DEVIATION        RMIN     RMAX   
   -1  12.6450        12.6450       .0000               .0000         .0000       .0000      1.1977      1.1977
    0  13.1017        12.1500       .9517            743.6461      897.4500   -153.8040      1.0798      1.3641
    1  13.7735        11.1600      2.6135           2149.2360     2692.3500   -543.1145      1.0253      1.5178
    2  13.1356        10.1700      2.9656           4859.6180     4487.2500    372.3677      1.0053      1.6411
    3  12.2754         9.1800      3.0954           6273.1610     6282.1500     -8.9893      1.0010      1.7533
    4  11.4449         8.1900      3.2549           7711.2840     8077.0500   -365.7656      1.0076      1.8606
    5  10.0656         7.2000      2.8656          10580.1300     9871.9500    708.1787      1.0233      1.9663
    6   9.4816         6.2100      3.2716          11985.9500    11666.8500    319.1025      1.0475      2.0727
    7   8.9539         5.2200      3.7339          13361.9500    13461.7500    -99.7979      1.0805      2.1817
    8   8.4705         4.2300      4.2405          14702.3300    15256.6500   -554.3213      1.1232      2.2956
    9   7.5901         3.2400      4.3501          17259.1100    17051.5500    207.5605      1.1773      2.4167
   10   7.1234         2.2500      4.8734          18461.8400    18846.4500   -384.6133      1.2454      2.5484
  NOISE FACTOR HAS MAXIMUM VALUE OF    .61E-08



  RMIN =  .750  MAXV   = 10  BE =   14.4570
  RMAX = 3.500  KDMAXV = 10  RE =    1.1201
  DELR =  .005  NEIG   =  0  DE =29361.0400
  ZMU  =  .930


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM    .805 TO   2.125 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
          .7500           35237.480          .7550           33909.690          .7600           32620.220
          .7650           31368.190          .7700           30152.750          .7750           28973.050
          .7800           27828.280          .7850           26717.620          .7900           25640.290
          .7950           24595.510          .8000           23582.530          .8050           22607.630
          .8100           21652.390          .8150           20717.440          .8200           19806.780
          .8250           18921.290          .8300           18062.960          .8350           17231.960
          .8400           16428.340          .8450           15652.000          .8500           14902.520
          .8550           14179.330          .8600           13482.240          .8650           12810.440
          .8700           12163.400          .8750           11540.330          .8800           10940.710
          .8850           10363.830          .8900            9809.047          .8950            9275.729
          .9000            8763.322          .9050            8271.230          .9100            7798.735
          .9150            7345.373          .9200            6910.546          .9250            6493.766
          .9300            6094.424          .9350            5712.054          .9400            5346.182
          .9450            4996.316          .9500            4661.971          .9550            4342.750
          .9600            4038.160          .9650            3747.822          .9700            3471.280
          .9750            3208.197          .9800            2958.165          .9850            2720.793
          .9900            2495.743          .9950            2282.655         1.0000            2081.190
         1.0050            1891.020         1.0100            1711.825         1.0150            1543.293
         1.0200            1385.119         1.0250            1237.013         1.0300            1098.689
         1.0350             969.871         1.0400             850.289         1.0450             739.681
         1.0500             637.793         1.0550             544.378         1.0600             459.196
         1.0650             382.013         1.0700             312.606         1.0750             250.842
         1.0800             196.425         1.0850             149.080         1.0900             108.615
         1.0950              74.841         1.1000              47.574         1.1050              26.632
         1.1100              11.839         1.1150               3.019         1.1200                .002
         1.1250               2.622         1.1300              10.715         1.1350              24.120
         1.1400              42.681         1.1450              66.246         1.1500              94.664
         1.1550             127.790         1.1600             165.481         1.1650             207.599
         1.1700             254.008         1.1750             304.576         1.1800             359.175
         1.1850             417.679         1.1900             479.970         1.1950             545.926
         1.2000             615.435         1.2050             688.386         1.2100             764.671
         1.2150             844.187         1.2200             926.814         1.2250            1012.457
         1.2300            1101.018         1.2350            1192.400         1.2400            1286.507
         1.2450            1383.247         1.2500            1482.530         1.2550            1584.268
         1.2600            1688.375         1.2650            1794.768         1.2700            1903.366
         1.2750            2014.088         1.2800            2126.856         1.2850            2241.599
         1.2900            2358.239         1.2950            2476.705         1.3000            2596.924
         1.3050            2718.829         1.3100            2842.354         1.3150            2967.437
         1.3200            3094.015         1.3250            3222.011         1.3300            3351.385
         1.3350            3482.070         1.3400            3614.002         1.3450            3747.123
         1.3500            3881.380         1.3550            4016.727         1.3600            4153.119
         1.3650            4290.489         1.3700            4428.792         1.3750            4567.980
         1.3800            4708.008         1.3850            4848.830         1.3900            4990.402
         1.3950            5132.680         1.4000            5275.613         1.4050            5419.159
         1.4100            5563.293         1.4150            5707.977         1.4200            5853.168
1
         1.4250            5998.822         1.4300            6144.890         1.4350            6291.354
         1.4400            6438.184         1.4450            6585.309         1.4500            6732.736
         1.4550            6880.438         1.4600            7028.382         1.4650            7176.513
         1.4700            7324.770         1.4750            7473.200         1.4800            7621.757
         1.4850            7770.390         1.4900            7919.063         1.4950            8067.767
         1.5000            8216.508         1.5050            8365.244         1.5100            8513.881
         1.5150            8662.448         1.5200            8810.956         1.5250            8959.381
         1.5300            9107.674         1.5350            9255.774         1.5400            9403.758
         1.5450            9551.535         1.5500            9699.087         1.5550            9846.399
         1.5600            9993.470         1.5650           10140.300         1.5700           10286.840
         1.5750           10433.060         1.5800           10578.980         1.5850           10724.580
         1.5900           10869.860         1.5950           11014.790         1.6000           11159.310
         1.6050           11303.460         1.6100           11447.220         1.6150           11590.560
         1.6200           11733.480         1.6250           11875.960         1.6300           12018.010
         1.6350           12159.600         1.6400           12300.720         1.6450           12441.380
         1.6500           12581.540         1.6550           12721.190         1.6600           12860.320
         1.6650           12998.960         1.6700           13137.100         1.6750           13274.680
         1.6800           13411.700         1.6850           13548.170         1.6900           13684.110
         1.6950           13819.510         1.7000           13954.290         1.7050           14088.500
         1.7100           14222.140         1.7150           14355.210         1.7200           14487.690
         1.7250           14619.540         1.7300           14750.820         1.7350           14881.460
