


  RMIN =  .750  MAXV   = 10  BE =   14.9340
  RMAX = 3.500  KDMAXV = 10  RE =    1.1021
  DELR =  .005  NEIG   =  0  DE =25000.0000
  ZMU  =  .930


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM    .780 TO   2.375 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         2.2200           19157.900         2.2250           19193.520         2.2300           19228.750
         2.2350           19263.600         2.2400           19298.060         2.2450           19332.150
         2.2500           19365.860         2.2550           19399.200         2.2600           19432.170
         2.2650           19464.770         2.2700           19497.000         2.2750           19528.870
         2.2800           19560.330         2.2850           19591.470         2.2900           19622.320
         2.2950           19652.850         2.3000           19683.050         2.3050           19712.890
         2.3100           19742.390         2.3150           19771.520         2.3200           19800.310
         2.3250           19828.770         2.3300           19856.900         2.3350           19884.740
         2.3400           19912.310         2.3450           19939.630         2.3500           19966.580
         2.3550           19993.210         2.3600           20019.550         2.3650           20045.580
         2.3700           20071.300         2.3750           20096.730         2.3800           20122.210
         2.3850           20147.480         2.3900           20172.630         2.3950           20197.660
         2.4000           20222.560         2.4050           20247.340         2.4100           20272.010
         2.4150           20296.550         2.4200           20320.970         2.4250           20345.270
         2.4300           20369.460         2.4350           20393.520         2.4400           20417.470
         2.4450           20441.300         2.4500           20465.020         2.4550           20488.620
         2.4600           20512.100         2.4650           20535.470         2.4700           20558.720
         2.4750           20581.860         2.4800           20604.880         2.4850           20627.790
         2.4900           20650.590         2.4950           20673.280         2.5000           20695.850
         2.5050           20718.310         2.5100           20740.670         2.5150           20762.910
         2.5200           20785.040         2.5250           20807.060         2.5300           20828.970
         2.5350           20850.780         2.5400           20872.470         2.5450           20894.060
         2.5500           20915.540         2.5550           20936.920         2.5600           20958.190
         2.5650           20979.350         2.5700           21000.410         2.5750           21021.360
         2.5800           21042.210         2.5850           21062.950         2.5900           21083.590
         2.5950           21104.130         2.6000           21124.570         2.6050           21144.900
         2.6100           21165.130         2.6150           21185.260         2.6200           21205.290
         2.6250           21225.220         2.6300           21245.050         2.6350           21264.780
         2.6400           21284.410         2.6450           21303.950         2.6500           21323.380
         2.6550           21342.720         2.6600           21361.960         2.6650           21381.100
         2.6700           21400.150         2.6750           21419.100         2.6800           21437.950
         2.6850           21456.710         2.6900           21475.380         2.6950           21493.950
         2.7000           21512.430         2.7050           21530.810         2.7100           21549.110
         2.7150           21567.300         2.7200           21585.410         2.7250           21603.430
         2.7300           21621.350         2.7350           21639.190         2.7400           21656.930
         2.7450           21674.580         2.7500           21692.150         2.7550           21709.620
         2.7600           21727.010         2.7650           21744.300         2.7700           21761.510
1
         2.7750           21778.640         2.7800           21795.670         2.7850           21812.620
         2.7900           21829.480         2.7950           21846.260         2.8000           21862.950
         2.8050           21879.550         2.8100           21896.080         2.8150           21912.510
         2.8200           21928.870         2.8250           21945.130         2.8300           21961.320
         2.8350           21977.420         2.8400           21993.450         2.8450           22009.380
         2.8500           22025.240         2.8550           22041.020         2.8600           22056.710
         2.8650           22072.330         2.8700           22087.870         2.8750           22103.320
         2.8800           22118.700         2.8850           22134.000         2.8900           22149.210
         2.8950           22164.360         2.9000           22179.420         2.9050           22194.400
         2.9100           22209.310         2.9150           22224.140         2.9200           22238.900
         2.9250           22253.580         2.9300           22268.190         2.9350           22282.710
         2.9400           22297.170         2.9450           22311.550         2.9500           22325.850
         2.9550           22340.080         2.9600           22354.240         2.9650           22368.330
         2.9700           22382.340         2.9750           22396.280         2.9800           22410.150
         2.9850           22423.940         2.9900           22437.670         2.9950           22451.320
         3.0000           22464.910         3.0050           22478.420         3.0100           22491.860
         3.0150           22505.240         3.0200           22518.540         3.0250           22531.780
         3.0300           22544.940         3.0350           22558.040         3.0400           22571.070
         3.0450           22584.030         3.0500           22596.930         3.0550           22609.760
         3.0600           22622.520         3.0650           22635.210         3.0700           22647.840
         3.0750           22660.410         3.0800           22672.910         3.0850           22685.340
         3.0900           22697.710         3.0950           22710.010         3.1000           22722.250
         3.1050           22734.430         3.1100           22746.540         3.1150           22758.590
         3.1200           22770.580         3.1250           22782.500         3.1300           22794.370
         3.1350           22806.170         3.1400           22817.910         3.1450           22829.580
         3.1500           22841.200         3.1550           22852.760         3.1600           22864.250
         3.1650           22875.690         3.1700           22887.060         3.1750           22898.380
         3.1800           22909.640         3.1850           22920.830         3.1900           22931.970
         3.1950           22943.060         3.2000           22954.080         3.2050           22965.040
         3.2100           22975.950         3.2150           22986.800         3.2200           22997.600
         3.2250           23008.330         3.2300           23019.020         3.2350           23029.640
         3.2400           23040.210         3.2450           23050.720         3.2500           23061.180
         3.2550           23071.590         3.2600           23081.940         3.2650           23092.230
         3.2700           23102.470         3.2750           23112.660         3.2800           23122.790
         3.2850           23132.870         3.2900           23142.900         3.2950           23152.870
         3.3000           23162.790         3.3050           23172.660         3.3100           23182.480
         3.3150           23192.250         3.3200           23201.960         3.3250           23211.630
         3.3300           23221.240         3.3350           23230.800         3.3400           23240.310
         3.3450           23249.770         3.3500           23259.180         3.3550           23268.540
         3.3600           23277.860         3.3650           23287.120         3.3700           23296.330
         3.3750           23305.500         3.3800           23314.620         3.3850           23323.680
         3.3900           23332.710         3.3950           23341.680         3.4000           23350.600
         3.4050           23359.480         3.4100           23368.310         3.4150           23377.100
         3.4200           23385.840         3.4250           23394.530         3.4300           23403.180
         3.4350           23411.780         3.4400           23420.330         3.4450           23428.840
1
         3.4500           23437.310         3.4550           23445.730         3.4600           23454.100
         3.4650           23462.430         3.4700           23470.720         3.4750           23478.960
         3.4800           23487.160         3.4850           23495.320         3.4900           23503.430
         3.4950           23511.500         3.5000           23519.530
1V'  B(V)  (CAL)   B(V)  (OBS)    DEVIATION        E(V)ALC)   E(V) (OBS)   DEVIATION        RMIN     RMAX   
   -1  14.9340        14.9340       .0000               .0000         .0000       .0000      1.1021      1.1021
    0  14.5893        14.5855       .0038           1439.6650     1441.1900     -1.5250      1.0036      1.2293
    1  13.8974        13.8885       .0089           4174.8820     4178.5900     -3.7080       .9454      1.3479
    2  13.2062        13.1915       .0147           6716.5210     6722.6900     -6.1694       .9108      1.4468
