


  RMIN =  .750  MAXV   = 12  BE =   17.3580
  RMAX = 3.500  KDMAXV = 12  RE =    1.0123
  DELR =  .005  NEIG   =  0  DE =35000.0000
  ZMU  =  .948


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM    .880 TO   2.120 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         2.2200           32508.180         2.2250           32606.080         2.2300           32700.200
         2.2350           32790.680         2.2400           32877.670         2.2450           32961.280
         2.2500           33041.650         2.2550           33118.890         2.2600           33193.140
         2.2650           33264.480         2.2700           33333.050         2.2750           33398.950
         2.2800           33462.270         2.2850           33523.110         2.2900           33581.570
         2.2950           33637.740         2.3000           33691.700         2.3050           33743.550
         2.3100           33793.370         2.3150           33841.220         2.3200           33887.200
         2.3250           33931.360         2.3300           33973.790         2.3350           34014.540
         2.3400           34053.680         2.3450           34091.290         2.3500           34127.400
         2.3550           34162.090         2.3600           34195.410         2.3650           34227.410
         2.3700           34258.150         2.3750           34287.670         2.3800           34316.020
         2.3850           34343.250         2.3900           34369.390         2.3950           34394.510
         2.4000           34418.620         2.4050           34441.780         2.4100           34464.020
         2.4150           34485.380         2.4200           34505.890         2.4250           34525.590
         2.4300           34544.500         2.4350           34562.660         2.4400           34580.100
         2.4450           34596.850         2.4500           34612.930         2.4550           34628.370
         2.4600           34643.200         2.4650           34657.430         2.4700           34671.100
         2.4750           34684.230         2.4800           34696.830         2.4850           34708.930
         2.4900           34720.550         2.4950           34731.700         2.5000           34742.410
         2.5050           34752.700         2.5100           34762.570         2.5150           34772.050
         2.5200           34781.160         2.5250           34789.900         2.5300           34798.290
         2.5350           34806.340         2.5400           34814.080         2.5450           34821.510
         2.5500           34828.640         2.5550           34835.480         2.5600           34842.050
         2.5650           34848.370         2.5700           34854.430         2.5750           34860.240
         2.5800           34865.830         2.5850           34871.190         2.5900           34876.340
