


  RMIN =  .750  MAXV   =  7  BE =    7.4664
  RMAX = 3.500  KDMAXV =  7  RE =    1.5238
  DELR =  .005  NEIG   =  0  DE =18000.0000
  ZMU  =  .973


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM   1.045 TO   2.960 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
                                 0   7    .6896889E-05             .1129457E+01
                                 0   8    .3780505E-05             .1109862E+01
                                 0   9    .2034938E-05             .1082475E+01
                                 0  10    .1095865E-05             .1057003E+01
                                 0  11    .5944337E-06             .1032875E+01
                                 0  12    .3275198E-06             .1011530E+01
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 1   0    .3825492E-02             .8491984E-01
                                 1   1    .9619564E+00             .1590701E+01
                                 1   2    .2082536E-01             .2652269E+01
                                 1   3    .1266589E-01             .1726439E+01
                                 1   4    .2253452E-06             .5667598E+02
                                 1   5    .4247842E-03             .1451089E+01
                                 1   6    .1007627E-03             .9469249E+00
                                 1   7    .8438522E-04             .1185395E+01
                                 1   8    .4600288E-04             .1103476E+01
                                 1   9    .2789101E-04             .1103594E+01
                                 1  10    .1636218E-04             .1077227E+01
                                 1  11    .9706921E-05             .1058506E+01
                                 1  12    .5796163E-05             .1039994E+01
1
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 2   0    .1338971E-02             .2186033E+01
                                 2   1    .2792668E-01             .8832408E+00
                                 2   2    .8614405E+00             .1634759E+01
                                 2   3    .6217941E-01             .2439421E+01
                                 2   4    .4344883E-01             .1842694E+01
                                 2   5    .4737788E-03             .4231169E+01
                                 2   6    .2120762E-02             .1642481E+01
                                 2   7    .2249215E-03             .5738312E+00
                                 2   8    .3424740E-03             .1258908E+01
                                 2   9    .1680504E-03             .1051402E+01
                                 2  10    .1171231E-03             .1109806E+01
                                 2  11    .7275915E-04             .1069648E+01
                                 2  12    .4682126E-04             .1060128E+01
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 3   0    .3953830E-03             .1488078E+01
                                 3   1    .2870335E-02             .2538621E+01
                                 3   2    .9682507E-01             .1237137E+01
                                 3   3    .6533066E+00             .1667655E+01
                                 3   4    .1162580E+00             .2383694E+01
                                 3   5    .1126674E+00             .1932535E+01
                                 3   6    .5698195E-02             .3113459E+01
                                 3   7    .9048307E-02             .1848215E+01
                                 3   8    .1430336E-03            -.1352493E+01
                                 3   9    .1208269E-02             .1438061E+01
                                 3  10    .3988197E-03             .8963055E+00
                                 3  11    .3700541E-03             .1154211E+01
                                 3  12    .2258590E-03             .1045474E+01
1
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 4   0    .5794496E-04             .9452759E+00
                                 4   1    .3014696E-02             .1653352E+01
                                 4   2    .1016630E-02             .4176143E+01
                                 4   3    .2191934E+00             .1449293E+01
                                 4   4    .3506081E+00             .1660784E+01
                                 4   5    .1343976E+00             .2424761E+01
                                 4   6    .2197988E+00             .2003290E+01
                                 4   7    .2932516E-01             .2805408E+01
                                 4   8    .3403948E-01             .2035632E+01
                                 4   9    .2670147E-03             .6603767E+01
                                 4  10    .4493476E-02             .1743798E+01
                                 4  11    .4773971E-03             .2255965E+00
                                 4  12    .1043347E-02             .1316575E+01
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 5   0    .9984466E-05             .4981248E+00
                                 5   1    .8455731E-03             .1226234E+01
                                 5   2    .9352909E-02             .1828976E+01
                                 5   3    .3707618E-02             .4119564E-02
                                 5   4    .3304585E+00             .1591272E+01
                                 5   5    .7880808E-01             .1446196E+01
                                 5   6    .6681760E-01             .2637021E+01
                                 5   7    .2871304E+00             .2052969E+01
                                 5   8    .8248459E-01             .2717100E+01
                                 5   9    .1038590E+00             .2188577E+01
                                 5  10    .9663827E-02             .3451539E+01
                                 5  11    .1879232E-01             .2103239E+01
                                 5  12    .8295371E-06             .8427823E+02
1
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 6   0    .2703466E-05             .3962712E+00
                                 6   1    .1600334E-03             .7584245E+00
                                 6   2    .5320123E-02             .1473507E+01
                                 6   3    .1036273E-01             .2129282E+01
                                 6   4    .5418014E-01             .1311903E+01
                                 6   5    .2733434E+00             .1667642E+01
                                 6   6    .1541772E-02             .5745210E+01
                                 6   7    .2259491E-03            -.6128377E+01
                                 6   8    .1729783E+00             .2040787E+01
                                 6   9    .1043764E+00             .2762309E+01
                                 6  10    .2086179E+00             .2302634E+01
                                 6  11    .5993949E-01             .3029801E+01
                                 6  12    .7630461E-01             .2403299E+01
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 7   0    .9291092E-06             .5044286E+00
                                 7   1    .2578529E-04             .1574079E+00
                                 7   2    .1775621E-02             .1198520E+01
                                 7   3    .1387470E-01             .1722304E+01
                                 7   4    .4841783E-04            -.8067167E+01
                                 7   5    .1492649E+00             .1615620E+01
                                 7   6    .5508676E-01             .1492725E+01
                                 7   7    .2061135E-01             .3013210E+01
                                 7   8    .9338179E-01             .1909664E+01
                                 7   9    .4103959E-02             .7074044E+00
                                 7  10    .1144077E-01             .3478997E+01
                                 7  11    .1550264E+00             .2341490E+01
                                 7  12    .1095920E+00             .2989287E+01
1R-CENTROID TABLE 

   1.544 3.339 1.571-1.397 1.303 1.081 1.170 1.129 1.110 1.082 1.057 1.033 1.012
    .085 1.591 2.652 1.72656.676 1.451  .947 1.185 1.103 1.104 1.077 1.059 1.040
   2.186  .883 1.635 2.439 1.843 4.231 1.642  .574 1.259 1.051 1.110 1.070 1.060
   1.488 2.539 1.237 1.668 2.384 1.933 3.113 1.848-1.352 1.438  .896 1.154 1.045
    .945 1.653 4.176 1.449 1.661 2.425 2.003 2.805 2.036 6.604 1.744  .226 1.317
    .498 1.226 1.829  .004 1.591 1.446 2.637 2.053 2.717 2.189 3.452 2.10384.278
    .396  .758 1.474 2.129 1.312 1.668 5.745-6.128 2.041 2.762 2.303 3.030 2.403
    .504  .157 1.199 1.722-8.067 1.616 1.493 3.013 1.910  .707 3.479 2.341 2.989
1 FRANCK CONDON FACTOR TABLE  

    9.94E-01 3.17E-03 2.35E-03 1.10E-05 5.59E-05 1.98E-05 1.28E-05 6.90E-06 3.78E-06 2.03E-06 1.10E-06 5.94E-07 3.28E-07
    3.83E-03 9.62E-01 2.08E-02 1.27E-02 2.25E-07 4.25E-04 1.01E-04 8.44E-05 4.60E-05 2.79E-05 1.64E-05 9.71E-06 5.80E-06
    1.34E-03 2.79E-02 8.61E-01 6.22E-02 4.34E-02 4.74E-04 2.12E-03 2.25E-04 3.42E-04 1.68E-04 1.17E-04 7.28E-05 4.68E-05
    3.95E-04 2.87E-03 9.68E-02 6.53E-01 1.16E-01 1.13E-01 5.70E-03 9.05E-03 1.43E-04 1.21E-03 3.99E-04 3.70E-04 2.26E-04
    5.79E-05 3.01E-03 1.02E-03 2.19E-01 3.51E-01 1.34E-01 2.20E-01 2.93E-02 3.40E-02 2.67E-04 4.49E-03 4.77E-04 1.04E-03
    9.98E-06 8.46E-04 9.35E-03 3.71E-03 3.30E-01 7.88E-02 6.68E-02 2.87E-01 8.25E-02 1.04E-01 9.66E-03 1.88E-02 8.30E-07
    2.70E-06 1.60E-04 5.32E-03 1.04E-02 5.42E-02 2.73E-01 1.54E-03 2.26E-04 1.73E-01 1.04E-01 2.09E-01 5.99E-02 7.63E-02
    9.29E-07 2.58E-05 1.78E-03 1.39E-02 4.84E-05 1.49E-01 5.51E-02 2.06E-02 9.34E-02 4.10E-03 1.14E-02 1.55E-01 1.10E-01
1
 V'=   0 SUM OF FCF'S FOR V''=0, 12 IS  9.9999800E-01
 V'=   1 SUM OF FCF'S FOR V''=0, 12 IS  9.9998920E-01
 V'=   2 SUM OF FCF'S FOR V''=0, 12 IS  9.9990110E-01
 V'=   3 SUM OF FCF'S FOR V''=0, 12 IS  9.9941520E-01
 V'=   4 SUM OF FCF'S FOR V''=0, 12 IS  9.9773300E-01
 V'=   5 SUM OF FCF'S FOR V''=0, 12 IS  9.9193130E-01
 V'=   6 SUM OF FCF'S FOR V''=0, 12 IS  9.6735350E-01
 V'=   7 SUM OF FCF'S FOR V''=0, 12 IS  6.1423340E-01
 V""=  0 SUM OF FCF"S FOR V"=0,  7 IS  9.9999360E-01
 V""=  1 SUM OF FCF"S FOR V"=0,  7 IS  9.9997200E-01
 V""=  2 SUM OF FCF"S FOR V"=0,  7 IS  9.9890540E-01
 V""=  3 SUM OF FCF"S FOR V"=0,  7 IS  9.7530140E-01
 V""=  4 SUM OF FCF"S FOR V"=0,  7 IS  8.9505800E-01
 V""=  5 SUM OF FCF"S FOR V"=0,  7 IS  7.4939980E-01
 V""=  6 SUM OF FCF"S FOR V"=0,  7 IS  3.5117750E-01
 V""=  7 SUM OF FCF"S FOR V"=0,  7 IS  3.4665740E-01
 V""=  8 SUM OF FCF"S FOR V"=0,  7 IS  3.8341950E-01
 V""=  9 SUM OF FCF"S FOR V"=0,  7 IS  2.1401260E-01
 V""= 10 SUM OF FCF"S FOR V"=0,  7 IS  2.3474940E-01
 V""= 11 SUM OF FCF"S FOR V"=0,  7 IS  2.3468880E-01
 V""= 12 SUM OF FCF"S FOR V"=0,  7 IS  1.8721960E-01
