


  RMIN =  .400  MAXV   = 10  BE =   14.6030
  RMAX = 3.500  KDMAXV = 10  RE =    1.1145
  DELR =  .005  NEIG   =  0  DE =18000.0000
  ZMU  =  .930


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM    .640 TO   3.195 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         1.9000           12654.040         1.9050           12699.810         1.9100           12745.020
         1.9150           12789.680         1.9200           12833.770         1.9250           12877.290
         1.9300           12920.290         1.9350           12962.760         1.9400           13004.680
         1.9450           13046.060         1.9500           13086.930         1.9550           13127.270
         1.9600           13167.110         1.9650           13206.440         1.9700           13245.270
         1.9750           13283.610         1.9800           13321.460         1.9850           13358.820
         1.9900           13395.690         1.9950           13432.090         2.0000           13468.030
         2.0050           13503.500         2.0100           13538.510         2.0150           13573.070
         2.0200           13607.180         2.0250           13640.840         2.0300           13674.060
         2.0350           13706.840         2.0400           13739.190         2.0450           13771.100
         2.0500           13802.590         2.0550           13833.670         2.0600           13864.350
         2.0650           13894.620         2.0700           13924.490         2.0750           13953.960
         2.0800           13983.030         2.0850           14011.720         2.0900           14040.020
         2.0950           14067.940         2.1000           14095.480         2.1050           14122.660
         2.1100           14149.470         2.1150           14175.920         2.1200           14202.010
         2.1250           14227.750         2.1300           14253.130         2.1350           14278.170
         2.1400           14302.890         2.1450           14327.270         2.1500           14351.310
         2.1550           14375.020         2.1600           14398.410         2.1650           14421.470
         2.1700           14444.210         2.1750           14466.640         2.1800           14488.750
         2.1850           14510.560         2.1900           14532.080         2.1950           14553.310
         2.2000           14574.250         2.2050           14594.910         2.2100           14615.280
         2.2150           14635.360         2.2200           14655.160         2.2250           14674.680
         2.2300           14693.930         2.2350           14712.910         2.2400           14731.620
         2.2450           14750.080         2.2500           14768.270         2.2550           14786.210
         2.2600           14803.890         2.2650           14821.330         2.2700           14838.530
         2.2750           14855.490         2.2800           14872.210         2.2850           14888.700
         2.2900           14904.960         2.2950           14921.000         2.3000           14936.800
         2.3050           14952.380         2.3100           14967.730         2.3150           14982.870
         2.3200           14997.800         2.3250           15012.510         2.3300           15027.010
         2.3350           15041.310         2.3400           15055.410         2.3450           15069.310
